,Lat,Long_,Deaths,Case_Fatality_Ratio,Temperature,confirmed cases
0,33.93911,67.709953,384.0,3.779216715,-2.2472168098918215,10161.0
1,41.1533,20.1683,246.0,1.077233702,0.3145383883173371,22836.0
2,28.0339,1.6596,237.0,2.536905131,1.5529334500595198,9342.0
3,42.5063,1.5218,165.0,0.3455425017,0.12831356700272317,47751.0
4,-11.2027,17.8739,50.0,1.836433703,1.3853311108763675,2723.0
5,-71.9499,23.347,0.0,0.0,-2.449736303071464,
6,17.0608,-61.7964,146.0,1.603338458,2.3851256203092013,9106.0
7,-38.4161,-63.6167,0.0,1.306452816,2.8984077840576057,0.0
8,40.0691,45.0382,243.0,1.954365257,-2.5102593699987135,12434.0
9,-35.4735,149.0124,138.0,0.06136005905,1.3201524234162525,224902.0
10,-33.8688,151.2093,194.0,0.1517344365,1.714716263576591,127855.0
11,-12.4634,130.8456,84.0,0.08155181453,2.4246983948385563,103002.0
12,-27.4698,153.0251,162.0,0.1379317464,1.5552612603259526,117449.0
13,-34.9285,138.6007,191.0,0.1339840356,1.335283190148065,142554.0
14,-42.8821,147.3272,198.0,0.07992749434,0.9372276345880776,247725.0
15,-37.8136,144.9631,202.0,0.2274631995,1.2444985897571907,88806.0
16,-31.9505,115.8605,172.0,0.06666162258,1.6786352044468844,258020.0
17,47.5162,14.5501,71.0,0.3755247962,-0.6235691490550308,18907.0
18,40.1431,47.5769,179.0,1.210895153,0.10852717973804546,14782.0
19,25.025885,-78.035889,118.0,2.221866581,1.8194677255660614,5311.0
20,26.0275,50.55,4.0,0.2201867939,1.3050216566844401,1817.0
21,23.685,90.3563,151.0,1.445115079,1.2712684078211665,10449.0
22,13.1939,-59.5432,59.0,0.5383120883,2.3420611303801966,10960.0
23,53.7098,27.9534,91.0,0.716069925,-0.12658165717165473,12708.0
24,51.2195,4.4024,0.0,0.0,0.3028993369851738,
25,50.8503,4.3517,0.0,0.0,0.26449046758903466,
26,51.0362,3.7373,0.0,0.0,0.27729342405441426,
27,50.9167,4.5833,0.0,0.0,0.2784573291876306,
28,50.5257,4.0621,0.0,0.0,0.2342289341254099,
29,50.4496,5.8492,0.0,0.0,-0.22434968836182703,
30,50.9739,5.342,0.0,0.0,0.30871886265125537,
31,50.0547,5.4677,0.0,0.0,-0.25461122182545176,
32,50.331,4.8221,0.0,0.0,0.000284002348926022,
33,50.4,4.35,0.0,0.0,0.16206681586599686,
34,51.0536,3.1458,0.0,0.0,0.18767272879675637,
35,17.1899,-88.4976,116.0,0.9804200986,2.2896853993854616,11832.0
36,9.3077,2.3158,163.0,0.5825173326,2.701707816544045,27982.0
37,27.5142,90.4336,21.0,0.03358334266,-0.7620738599077749,62531.0
38,-16.2902,-63.5887,6.0,1.911955614,3.311594106349405,314.0
39,43.9159,17.6791,413.0,4.046796224,-0.7993188241706977,10206.0
40,-22.3285,24.6849,8.0,0.8766395079,2.3420611303801966,913.0
41,-9.0238,-70.812,2.0,1.281495581,2.275718537786865,156.0
42,-9.5713,-36.782,15.0,2.147980606,2.7412805910734,698.0
43,0.902,-52.003,25.0,1.185920074,2.409567628106744,2108.0
44,-3.4168,-65.8561,16.0,2.307380899,2.211703755459967,693.0
45,-12.5797,-41.7007,8.0,1.764454247,2.6458403701496604,453.0
46,-5.4984,-39.3206,18.0,1.948989363,2.721494203808723,924.0
47,-15.7998,-47.8645,1.0,1.330521981,2.1989007989945875,75.0
48,-19.1834,-40.3089,2.0,1.139888485,2.926341507254798,175.0
49,-15.827,-49.8362,1.0,1.518395536,2.394436861374932,66.0
50,-4.9609,-45.2744,17.0,2.257149344,2.351372371445927,753.0
51,-12.6819,-56.9211,6.0,1.738421132,2.6749379984800687,345.0
52,-20.7722,-54.7852,0.0,1.831662749,3.109074613169763,0.0
53,-18.5122,-44.555,0.0,1.575934627,2.4246983948385563,0.0
54,-1.9981,-54.9306,30.0,2.201247277,2.8925882583915246,1363.0
55,-7.24,-36.782,12.0,1.502104601,2.394436861374932,799.0
56,-25.2521,-52.0215,0.0,1.595841327,2.514319090096215,0.0
57,-8.8137,-36.9541,14.0,2.007035244,2.5457445286930556,698.0
58,-7.7183,-42.7289,13.0,1.936156936,2.4246983948385563,671.0
59,-5.4026,-36.9541,16.0,1.490814477,2.738952780806968,1073.0
60,-30.0346,-51.2177,0.0,1.428141344,2.777361650203107,0.0
61,-22.9068,-43.1729,0.0,2.828309555,2.321110837982302,0.0
62,-11.5057,-63.5806,8.0,1.564672716,3.0741574591732723,511.0
63,-2.7376,-62.0751,18.0,1.202214722,2.9472917996526924,1497.0
64,-27.2423,-50.2189,0.0,1.153523126,2.177950506596693,0.0
65,-23.5505,-46.6333,1.0,2.806366526,2.0650517086747087,36.0
66,-10.5741,-37.3857,11.0,1.810760212,2.5888090186220607,607.0
67,-10.1753,-48.2982,5.0,1.166755771,2.2594238659218364,429.0
68,4.5353,114.7277,23.0,0.0843268283,1.8101564845003304,27275.0
69,42.7339,25.4858,372.0,2.948379381,-0.6910756467815784,12617.0
70,12.2383,-1.5616,191.0,1.79496501,2.7855089861356213,10641.0
71,21.9162,95.956,307.0,3.075607231,1.4295595059385882,9982.0
72,-3.3731,29.9189,38.0,0.0730053217,0.9965867963821107,52051.0
